Hz,dBFS(rms),THD(%),BUZZ(%)
1998.05,-60.58,0.00,0.00
2003.91,-61.50,0.00,0.00
2009.77,-62.63,0.00,0.00
2015.63,-63.90,0.00,0.00
2021.48,-65.31,0.00,0.00
2027.34,-67.03,0.00,0.00
2033.20,-69.32,0.00,0.00
2039.06,-71.79,0.00,0.00
2044.92,-74.54,0.00,0.00
2050.78,-77.76,0.00,0.00
2056.64,-77.36,0.00,0.00
2062.50,-72.90,0.00,0.00
2068.36,-69.04,0.00,0.00
2074.22,-66.20,0.00,0.00
2080.08,-64.13,0.00,0.00
2085.94,-62.39,0.00,0.00
2091.80,-60.97,0.00,0.00
2097.66,-60.03,0.00,0.00
2103.52,-59.41,0.00,0.00
2109.38,-58.96,0.00,0.00
2115.23,-58.69,0.00,0.00
2121.09,-58.69,0.00,0.00
2126.95,-59.04,0.00,0.00
2132.81,-59.65,0.00,0.00
2138.67,-60.41,0.00,0.00
2144.53,-61.37,0.00,0.00
2150.39,-62.41,0.00,0.00
2156.25,-63.31,0.00,0.00
2162.11,-63.82,0.00,0.00
2167.97,-63.92,0.00,0.00
2173.83,-62.91,0.00,0.00
2179.69,-61.56,0.00,0.00
2185.55,-60.21,0.00,0.00
2191.41,-58.89,0.00,0.00
2197.27,-57.87,0.00,0.00
2203.13,-57.11,0.00,0.00
2208.98,-56.58,0.00,0.00
2214.84,-56.13,0.00,0.00
2220.70,-55.81,0.00,0.00
2226.56,-55.65,0.00,0.00
2232.42,-55.62,0.00,0.00
2238.28,-55.62,0.00,0.00
2244.14,-55.61,0.00,0.00
2250.00,-55.58,0.00,0.00
2255.86,-55.61,0.00,0.00
2261.72,-55.63,0.00,0.00
2267.58,-55.63,0.00,0.00
2273.44,-55.66,0.00,0.00
2279.30,-55.73,0.43,0.15
2285.16,-55.86,0.00,0.00
2291.02,-55.93,0.00,0.00
2296.88,-55.93,0.00,0.00
2302.73,-56.01,0.00,0.00
2308.59,-56.22,0.00,0.00
2314.45,-56.59,0.00,0.00
2320.31,-57.00,0.00,0.00
2326.17,-57.49,0.00,0.00
2332.03,-58.19,0.00,0.00
2337.89,-59.11,0.00,0.00
2343.75,-60.27,0.00,0.00
2349.61,-61.53,0.00,0.00
2355.47,-62.76,0.00,0.00
2361.33,-63.92,0.00,0.00
2367.19,-64.78,0.00,0.00
2373.05,-65.33,0.00,0.00
2378.91,-65.04,0.00,0.00
2384.77,-64.17,0.00,0.00
2390.63,-63.34,0.00,0.00
2396.48,-62.86,0.00,0.00
2402.34,-62.82,0.00,0.00
2408.20,-62.91,0.00,0.00
2414.06,-63.10,0.00,0.00
2419.92,-63.61,0.00,0.00
2425.78,-64.30,0.00,0.00
2431.64,-64.96,0.00,0.00
2437.50,-65.15,0.00,0.00
2443.36,-65.08,0.00,0.00
2449.22,-64.86,0.00,0.00
2455.08,-64.42,0.00,0.00
2460.94,-63.63,0.00,0.00
2466.80,-62.73,0.00,0.00
2472.66,-61.81,0.00,0.00
2478.52,-61.02,0.00,0.00
