Hz,dBFS(rms),THD(%),BUZZ(%)
2039.06,-42.72,0.00,0.00
2042.97,-42.69,0.00,0.00
2046.88,-42.65,0.00,0.00
2050.78,-42.59,0.00,0.00
2054.69,-42.52,0.00,0.00
2058.59,-42.45,0.00,0.00
2062.50,-42.36,0.00,0.00
2066.41,-42.25,0.00,0.00
2070.31,-42.14,0.00,0.00
2074.22,-42.02,0.00,0.00
2078.13,-41.89,0.00,0.00
2082.03,-41.75,0.00,0.00
2085.94,-41.61,0.00,0.00
2089.84,-41.46,0.00,0.00
2093.75,-41.32,0.00,0.00
2097.66,-41.17,0.00,0.00
2101.56,-41.02,0.00,0.00
2105.47,-40.87,0.00,0.00
2109.38,-40.73,0.00,0.00
2113.28,-40.58,0.00,0.00
2117.19,-40.44,0.00,0.00
2121.09,-40.30,0.00,0.00
2125.00,-40.17,0.00,0.00
2128.91,-40.04,0.00,0.00
2132.81,-39.91,0.00,0.00
2136.72,-39.79,0.00,0.00
2140.63,-39.67,0.00,0.00
2144.53,-39.55,0.00,0.00
2148.44,-39.43,0.00,0.00
2152.34,-39.31,0.00,0.00
2156.25,-39.20,0.00,0.00
2160.16,-39.10,0.00,0.00
2164.06,-39.00,0.00,0.00
2167.97,-38.91,0.00,0.00
2171.88,-38.82,0.00,0.00
2175.78,-38.73,0.00,0.00
2179.69,-38.65,0.00,0.00
2183.59,-38.57,0.00,0.00
2187.50,-38.49,0.00,0.00
2191.41,-38.43,0.00,0.00
2195.31,-38.36,0.00,0.00
2199.22,-38.30,0.00,0.00
2203.13,-38.24,0.00,0.00
2207.03,-38.19,0.00,0.00
2210.94,-38.13,0.00,0.00
2214.84,-38.08,0.00,0.00
2218.75,-38.02,0.00,0.00
2222.66,-37.97,0.00,0.00
2226.56,-37.91,0.00,0.00
2230.47,-37.86,0.00,0.00
2234.38,-37.80,0.00,0.00
2238.28,-37.74,0.00,0.00
2242.19,-37.68,0.00,0.00
2246.09,-37.62,0.00,0.00
2250.00,-37.56,0.00,0.00
2253.91,-37.50,0.00,0.00
2257.81,-37.44,0.00,0.00
2261.72,-37.39,0.00,0.00
2265.63,-37.34,0.00,0.00
2269.53,-37.30,0.00,0.00
2273.44,-37.27,0.00,0.00
2277.34,-37.25,0.00,0.00
2281.25,-37.23,0.00,0.00
2285.16,-37.22,0.00,0.00
2289.06,-37.23,0.00,0.00
2292.97,-37.25,0.00,0.00
2296.88,-37.28,0.00,0.00
2300.78,-37.32,0.00,0.00
2304.69,-37.37,0.00,0.00
2308.59,-37.44,0.00,0.00
2312.50,-37.51,0.00,0.00
2316.41,-37.60,0.00,0.00
2320.31,-37.69,0.00,0.00
2324.22,-37.79,0.00,0.00
2328.13,-37.89,0.00,0.00
2332.03,-37.99,0.00,0.00
2335.94,-38.08,0.00,0.00
2339.84,-38.18,0.00,0.00
2343.75,-38.28,0.00,0.00
2347.66,-38.36,0.00,0.00
2351.56,-38.45,0.00,0.00
2355.47,-38.52,0.00,0.00
2359.38,-38.59,0.00,0.00
2363.28,-38.65,0.00,0.00
2367.19,-38.71,0.00,0.00
2371.09,-38.76,0.00,0.00
2375.00,-38.80,0.00,0.00
2378.91,-38.83,0.00,0.00
2382.81,-38.86,0.00,0.00
2386.72,-38.88,0.00,0.00
2390.63,-38.90,0.00,0.00
2394.53,-38.91,0.00,0.00
2398.44,-38.93,0.00,0.00
2402.34,-38.94,0.00,0.00
2406.25,-38.96,0.00,0.00
2410.16,-38.98,0.00,0.00
2414.06,-39.00,0.00,0.00
2417.97,-39.03,0.00,0.00
2421.88,-39.06,0.00,0.00
2425.78,-39.10,0.00,0.00
2429.69,-39.15,0.00,0.00
2433.59,-39.21,0.00,0.00
2437.50,-39.28,0.00,0.00
2441.41,-39.37,0.00,0.00
2445.31,-39.46,0.00,0.00
2449.22,-39.57,0.00,0.00
2453.13,-39.69,0.00,0.00
2457.03,-39.81,0.00,0.00
2460.94,-39.94,0.00,0.00
2464.84,-40.08,0.00,0.00
2468.75,-40.24,0.00,0.00
2472.66,-40.38,0.00,0.00
2476.56,-40.53,0.00,0.00
2480.47,-40.66,0.00,0.00
2484.38,-40.77,0.00,0.00
2488.28,-40.89,0.00,0.00
2492.19,-41.01,0.00,0.00
2496.09,-41.15,0.00,0.00
2500.00,-41.28,0.00,0.00
2503.91,-41.43,0.00,0.00
2507.81,-41.56,0.00,0.00
2511.72,-41.70,0.00,0.00
2515.63,-41.82,0.00,0.00
2519.53,-41.94,0.00,0.00
2523.44,-42.05,0.00,0.00
2527.34,-42.15,0.00,0.00
2531.25,-42.23,0.00,0.00
2535.16,-42.31,0.00,0.00
2539.06,-42.38,0.00,0.00
2542.97,-42.43,0.00,0.00
2546.88,-42.48,0.00,0.00
2550.78,-42.52,0.00,0.00
2554.69,-42.56,0.00,0.00
2558.59,-42.60,0.00,0.00
2562.50,-42.63,0.00,0.00
2566.41,-42.65,0.00,0.00
2570.31,-42.67,0.00,0.00
2574.22,-42.69,0.00,0.00
2578.13,-42.70,0.00,0.00
2582.03,-42.71,0.00,0.00
2585.94,-42.71,0.00,0.00
2589.84,-42.72,0.00,0.00
2593.75,-42.72,0.00,0.00
2597.66,-42.71,0.00,0.00
2601.56,-42.71,0.00,0.00
2605.47,-42.70,0.00,0.00
2609.38,-42.69,0.00,0.00
2613.28,-42.68,0.00,0.00
2617.19,-42.67,0.00,0.00
2621.09,-42.66,0.00,0.00
2625.00,-42.66,0.00,0.00
2628.91,-42.65,0.00,0.00
2632.81,-42.64,0.00,0.00
2636.72,-42.62,0.00,0.00
2640.63,-42.60,0.00,0.00
2644.53,-42.57,0.00,0.00
2648.44,-42.53,0.00,0.00
2652.34,-42.48,0.00,0.00
2656.25,-42.43,0.00,0.00
2660.16,-42.37,0.00,0.00
2664.06,-42.31,0.00,0.00
2667.97,-42.23,0.00,0.00
2671.88,-42.16,0.00,0.00
2675.78,-42.05,0.00,0.00
2679.69,-41.92,0.00,0.00
2683.59,-41.85,0.00,0.00
2687.50,-41.75,0.00,0.00
2691.41,-41.73,0.00,0.00
2695.31,-41.67,0.00,0.00
2699.22,-41.57,0.00,0.00
2703.13,-41.48,0.00,0.00
2707.03,-41.39,0.00,0.00
2710.94,-41.30,0.00,0.00
2714.84,-41.22,0.00,0.00
2718.75,-41.14,0.00,0.00
2722.66,-41.06,0.00,0.00
2726.56,-40.99,0.00,0.00
2730.47,-40.92,0.00,0.00
2734.38,-40.86,0.00,0.00
2738.28,-40.80,0.00,0.00
2742.19,-40.75,0.00,0.00
2746.09,-40.71,0.00,0.00
2750.00,-40.67,0.00,0.00
2753.91,-40.64,0.00,0.00
2757.81,-40.61,0.00,0.00
2761.72,-40.59,0.00,0.00
2765.63,-40.58,0.00,0.00
2769.53,-40.58,0.00,0.00
2773.44,-40.58,0.00,0.00
2777.34,-40.59,0.00,0.00
2781.25,-40.62,0.00,0.00
2785.16,-40.65,0.00,0.00
2789.06,-40.68,0.00,0.00
2792.97,-40.72,0.00,0.00
2796.88,-40.77,0.00,0.00
2800.78,-40.82,0.00,0.00
2804.69,-40.87,0.00,0.00
2808.59,-40.92,0.00,0.00
2812.50,-40.97,0.00,0.00
2816.41,-41.03,0.00,0.00
2820.31,-41.09,0.00,0.00
2824.22,-41.14,0.00,0.00
2828.13,-41.20,0.00,0.00
2832.03,-41.26,0.00,0.00
2835.94,-41.33,0.00,0.00
2839.84,-41.39,0.00,0.00
2843.75,-41.45,0.00,0.00
2847.66,-41.52,0.00,0.00
2851.56,-41.59,0.00,0.00
2855.47,-41.66,0.00,0.00
2859.38,-41.73,0.00,0.00
2863.28,-41.81,0.00,0.00
2867.19,-41.88,0.00,0.00
2871.09,-41.95,0.00,0.00
2875.00,-42.02,0.00,0.00
2878.91,-42.08,0.00,0.00
2882.81,-42.14,0.00,0.00
2886.72,-42.20,0.00,0.00
2890.63,-42.25,0.00,0.00
2894.53,-42.28,0.00,0.00
2898.44,-42.32,0.00,0.00
2902.34,-42.34,0.00,0.00
2906.25,-42.35,0.00,0.00
2910.16,-42.36,0.00,0.00
2914.06,-42.37,0.00,0.00
2917.97,-42.38,0.00,0.00
2921.88,-42.39,0.00,0.00
2925.78,-42.40,0.00,0.00
2929.69,-42.38,0.00,0.00
2933.59,-42.39,0.00,0.00
2937.50,-42.40,0.00,0.00
2941.41,-42.39,0.00,0.00
2945.31,-42.37,0.00,0.00
2949.22,-42.34,0.00,0.00
2953.13,-42.31,0.00,0.00
2957.03,-42.28,0.00,0.00
2960.94,-42.25,0.00,0.00
2964.84,-42.22,0.00,0.00
2968.75,-42.19,0.00,0.00
2972.66,-42.16,0.00,0.00
2976.56,-42.14,0.00,0.00
2980.47,-42.12,0.00,0.00
2984.38,-42.09,0.00,0.00
2988.28,-42.08,0.00,0.00
2992.19,-42.08,0.00,0.00
2996.09,-42.07,0.00,0.00
3000.00,-42.08,0.00,0.00
3003.91,-42.10,0.00,0.00
3007.81,-42.12,0.00,0.00
3011.72,-42.15,0.00,0.00
3015.63,-42.19,0.00,0.00
3019.53,-42.23,0.00,0.00
3023.44,-42.28,0.00,0.00
3027.34,-42.33,0.00,0.00
3031.25,-42.39,0.00,0.00
3035.16,-42.45,0.00,0.00
3039.06,-42.51,0.00,0.00
3042.97,-42.58,0.00,0.00
3046.88,-42.64,0.00,0.00
3050.78,-42.70,0.00,0.00
3054.69,-42.76,0.00,0.00
3058.59,-42.83,0.00,0.00
3062.50,-42.89,0.00,0.00
