Hz,dBFS(rms),THD(%),BUZZ(%)
3017.58,-85.87,0.00,0.00
3023.44,-84.65,0.00,0.00
3029.30,-84.71,0.00,0.00
3035.16,-84.70,0.00,0.00
3041.02,-84.95,0.00,0.00
3046.88,-84.47,0.00,0.00
3052.73,-85.30,0.00,0.00
3058.59,-86.86,0.00,0.00
3064.45,-86.02,0.00,0.00
3070.31,-86.21,0.00,0.00
3076.17,-86.32,0.00,0.00
3082.03,-86.49,0.00,0.00
3087.89,-86.22,0.00,0.00
3093.75,-85.80,0.00,0.00
3099.61,-85.47,0.00,0.00
3105.47,-85.48,0.00,0.00
3111.33,-85.31,0.00,0.00
3117.19,-85.63,0.00,0.00
3123.05,-87.26,0.00,0.00
3128.91,-86.18,0.00,0.00
3134.77,-85.73,0.00,0.00
3140.63,-85.74,0.00,0.00
3146.48,-86.18,0.00,0.00
3152.34,-86.17,0.00,0.00
3158.20,-86.12,0.00,0.00
3164.06,-86.25,0.00,0.00
3169.92,-86.49,0.00,0.00
3175.78,-85.82,0.00,0.00
3181.64,-85.94,0.00,0.00
3187.50,-86.23,0.00,0.00
3193.36,-85.49,0.00,0.00
3199.22,-86.12,0.00,0.00
3205.08,-85.43,0.00,0.00
3210.94,-86.08,0.00,0.00
3216.80,-86.20,0.00,0.00
3222.66,-84.95,0.00,0.00
3228.52,-86.12,0.00,0.00
3234.38,-86.73,0.00,0.00
3240.23,-86.03,0.00,0.00
3246.09,-86.16,0.00,0.00
3251.95,-86.14,0.00,0.00
3257.81,-85.82,0.00,0.00
3263.67,-86.04,0.00,0.00
3269.53,-86.18,0.00,0.00
3275.39,-85.44,0.00,0.00
3281.25,-86.37,0.00,0.00
3287.11,-85.88,0.00,0.00
3292.97,-85.78,0.00,0.00
3298.83,-85.69,0.00,0.00
3304.69,-85.91,0.00,0.00
3310.55,-85.70,0.00,0.00
3316.41,-85.74,0.00,0.00
3322.27,-87.17,0.00,0.00
3328.13,-87.39,0.00,0.00
3333.98,-86.80,0.00,0.00
3339.84,-86.51,0.00,0.00
3345.70,-85.83,0.00,0.00
3351.56,-86.84,0.00,0.00
3357.42,-86.09,0.00,0.00
3363.28,-86.55,0.00,0.00
3369.14,-85.68,0.00,0.00
3375.00,-84.96,0.00,0.00
3380.86,-85.17,0.00,0.00
3386.72,-85.54,0.00,0.00
3392.58,-85.56,0.00,0.00
3398.44,-84.81,0.00,0.00
3404.30,-86.63,0.00,0.00
3410.16,-86.47,0.00,0.00
3416.02,-86.77,0.00,0.00
3421.88,-86.26,0.00,0.00
3427.73,-86.17,0.00,0.00
3433.59,-86.47,0.00,0.00
3439.45,-86.83,0.00,0.00
3445.31,-86.07,0.00,0.00
3451.17,-85.15,0.00,0.00
3457.03,-80.25,0.00,0.00
3462.89,-80.23,0.00,0.00
3468.75,-86.07,0.00,0.00
3474.61,-86.38,0.00,0.00
3480.47,-86.16,0.00,0.00
3486.33,-85.94,0.00,0.00
3492.19,-86.78,0.00,0.00
3498.05,-86.46,0.00,0.00
3503.91,-87.45,0.00,0.00
3509.77,-87.19,0.00,0.00
3515.63,-86.67,0.00,0.00
3521.48,-86.14,0.00,0.00
3527.34,-85.37,0.00,0.00
3533.20,-85.56,0.00,0.00
3539.06,-86.26,0.00,0.00
3544.92,-85.88,0.00,0.00
3550.78,-85.72,0.00,0.00
3556.64,-85.56,0.00,0.00
3562.50,-86.11,0.00,0.00
3568.36,-86.12,0.00,0.00
3574.22,-85.97,0.00,0.00
3580.08,-86.07,0.00,0.00
3585.94,-86.86,0.00,0.00
3591.80,-86.71,0.00,0.00
3597.66,-85.88,0.00,0.00
3603.52,-85.79,0.00,0.00
3609.38,-86.38,0.00,0.00
3615.23,-86.70,0.00,0.00
3621.09,-87.07,0.00,0.00
3626.95,-86.94,0.00,0.00
3632.81,-86.04,0.00,0.00
3638.67,-85.91,0.00,0.00
3644.53,-85.23,0.00,0.00
3650.39,-86.09,0.00,0.00
3656.25,-86.31,0.00,0.00
3662.11,-85.82,0.00,0.00
3667.97,-85.71,0.00,0.00
3673.83,-86.81,0.00,0.00
3679.69,-86.30,0.00,0.00
3685.55,-85.96,0.00,0.00
3691.41,-85.77,0.00,0.00
3697.27,-86.10,0.00,0.00
3703.13,-86.96,0.00,0.00
3708.98,-86.15,0.00,0.00
3714.84,-85.98,0.00,0.00
3720.70,-86.67,0.00,0.00
3726.56,-86.24,0.00,0.00
3732.42,-85.92,0.00,0.00
3738.28,-86.88,0.00,0.00
3744.14,-86.86,0.00,0.00
3750.00,-86.63,0.00,0.00
3755.86,-85.73,0.00,0.00
3761.72,-85.77,0.00,0.00
3767.58,-86.98,0.00,0.00
3773.44,-87.27,0.00,0.00
3779.30,-86.75,0.00,0.00
3785.16,-86.47,0.00,0.00
3791.02,-86.09,0.00,0.00
3796.88,-85.53,0.00,0.00
3802.73,-86.57,0.00,0.00
3808.59,-86.86,0.00,0.00
3814.45,-86.44,0.00,0.00
3820.31,-87.27,0.00,0.00
3826.17,-87.31,0.00,0.00
3832.03,-87.66,0.00,0.00
3837.89,-87.97,0.00,0.00
3843.75,-86.99,0.00,0.00
3849.61,-86.43,0.00,0.00
3855.47,-86.27,0.00,0.00
3861.33,-85.88,0.00,0.00
3867.19,-86.13,0.00,0.00
3873.05,-86.05,0.00,0.00
3878.91,-86.70,0.00,0.00
3884.77,-87.75,0.00,0.00
3890.63,-87.25,0.00,0.00
3896.48,-85.92,0.00,0.00
3902.34,-85.31,0.00,0.00
3908.20,-85.52,0.00,0.00
3914.06,-86.45,0.00,0.00
3919.92,-85.91,0.00,0.00
3925.78,-86.49,0.00,0.00
3931.64,-87.58,0.00,0.00
3937.50,-87.56,0.00,0.00
3943.36,-87.39,0.00,0.00
3949.22,-86.84,0.00,0.00
3955.08,-86.65,0.00,0.00
3960.94,-86.60,0.00,0.00
3966.80,-86.40,0.00,0.00
3972.66,-86.10,0.00,0.00
3978.52,-86.53,0.00,0.00
3984.38,-87.02,0.00,0.00
3990.23,-86.02,0.00,0.00
3996.09,-85.83,0.00,0.00
4001.95,-86.95,0.00,0.00
4007.81,-87.23,0.00,0.00
4013.67,-86.54,0.00,0.00
4019.53,-85.88,0.00,0.00
4025.39,-85.40,0.00,0.00
4031.25,-85.63,0.00,0.00
4037.11,-86.84,0.00,0.00
4042.97,-86.46,0.00,0.00
4048.83,-86.93,0.00,0.00
4054.69,-86.62,0.00,0.00
4060.55,-87.62,0.00,0.00
4066.41,-88.03,0.00,0.00
4072.27,-86.71,0.00,0.00
4078.13,-87.21,0.00,0.00
4083.98,-86.66,0.00,0.00
4089.84,-86.41,0.00,0.00
4095.70,-87.43,0.00,0.00
4101.56,-87.12,0.00,0.00
4107.42,-86.87,0.00,0.00
4113.28,-86.33,0.00,0.00
4119.14,-87.32,0.00,0.00
4125.00,-86.98,0.00,0.00
4130.86,-86.63,0.00,0.00
4136.72,-86.71,0.00,0.00
4142.58,-86.96,0.00,0.00
4148.44,-87.36,0.00,0.00
4154.30,-86.19,0.00,0.00
4160.16,-85.22,0.00,0.00
4166.02,-86.40,0.00,0.00
4171.88,-87.54,0.00,0.00
